amfi_code,scheme_name,fund_house,category,nav_date,nav,fetched_at,friendly_name
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Debt Scheme - Banking and PSU Fund,22-06-2026,105.985,2026-06-23T07:37:55Z,SBI Bluechip Fund
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,Equity Scheme - ELSS,22-06-2026,108.4681,2026-06-23T07:37:56Z,ICICI Bluechip Fund
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Equity Scheme - Large Cap Fund,22-06-2026,101.3654,2026-06-23T07:38:06Z,Nippon Large Cap Fund
119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Debt Scheme - Money Market Fund,22-06-2026,6199.4871,2026-06-23T07:38:07Z,Axis Bluechip Fund
120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Equity Scheme - Mid Cap Fund,22-06-2026,252.0694,2026-06-23T07:38:09Z,Kotak Bluechip Fund
